seed,dataset,test_loss,test_kl_mean,test_mean_negative_log_likelihood,test_ACC,test_AUPRC,test_AUROC,test_BALACC,test_PRECISION,test_RECALL
2324685444.0,DistalPhalanxTW,1.735713005065918,166.5277557373047,0.0704355463385582,1.0,1.0,1.0,1.0,1.0,1.0
919640511.0,DistalPhalanxTW,1.7555822134017944,164.4329071044922,0.11125315725803375,1.0,1.0,1.0,1.0,1.0,1.0
1227926698.0,DistalPhalanxTW,1.7359154224395752,164.84886169433594,0.08742678165435791,1.0,1.0,1.0,1.0,1.0,1.0
84993749.0,DistalPhalanxTW,1.7255187034606934,164.26943969726562,0.08282431960105896,1.0,1.0,1.0,1.0,1.0,1.0
3374205678.0,DistalPhalanxTW,1.7556242942810059,165.21865844726562,0.1034378930926323,1.0,1.0,1.0,1.0,1.0,1.0
1528121949.0,DistalPhalanxTW,1.704908013343811,164.84695434570312,0.056438758969306946,1.0,1.0,1.0,1.0,1.0,1.0
1262430668.0,DistalPhalanxTW,1.7217358350753784,165.94261169433594,0.06230971962213516,1.0,1.0,1.0,1.0,1.0,1.0
3166628499.0,DistalPhalanxTW,1.7304612398147583,166.10418701171875,0.06941947340965271,1.0,1.0,1.0,1.0,1.0,1.0
2053708807.0,DistalPhalanxTW,1.7773685455322266,167.4844970703125,0.10252360999584198,1.0,1.0,1.0,1.0,1.0,1.0
2947789557.0,DistalPhalanxTW,1.7208597660064697,166.0426025390625,0.06043386086821556,1.0,1.0,1.0,1.0,1.0,1.0
4201310557.0,DistalPhalanxTW,1.705746054649353,165.8876953125,0.04686902090907097,1.0,1.0,1.0,1.0,1.0,1.0
839780421.0,DistalPhalanxTW,1.737276554107666,163.6986083984375,0.1002904623746872,1.0,1.0,1.0,1.0,1.0,1.0
3587693443.0,DistalPhalanxTW,1.7338449954986572,164.32118225097656,0.09063337743282318,1.0,1.0,1.0,1.0,1.0,1.0
1963487702.0,DistalPhalanxTW,1.6966074705123901,163.2025909423828,0.06458146870136261,1.0,1.0,1.0,1.0,1.0,1.0
3957415062.0,DistalPhalanxTW,1.7431670427322388,165.37596130371094,0.0894075334072113,1.0,1.0,1.0,1.0,1.0,1.0
1011484101.0,DistalPhalanxTW,1.8442779779434204,168.17506408691406,0.1625274419784546,1.0,1.0,1.0,1.0,1.0,1.0
874665068.0,DistalPhalanxTW,1.7035670280456543,164.16880798339844,0.06187904253602028,1.0,1.0,1.0,1.0,1.0,1.0
3939016010.0,DistalPhalanxTW,1.7304214239120483,166.04579162597656,0.06996361166238785,1.0,1.0,1.0,1.0,1.0,1.0
3927996270.0,DistalPhalanxTW,1.7401143312454224,165.52264404296875,0.08488773554563522,1.0,1.0,1.0,1.0,1.0,1.0
4085712274.0,DistalPhalanxTW,1.7286217212677002,165.9051055908203,0.06957079470157623,1.0,1.0,1.0,1.0,1.0,1.0
2887298160.0,DistalPhalanxTW,1.7453680038452148,165.34133911132812,0.09195476025342941,1.0,1.0,1.0,1.0,1.0,1.0
4066387655.0,DistalPhalanxTW,1.7137117385864258,163.45570373535156,0.07915454357862473,1.0,1.0,1.0,1.0,1.0,1.0
1306888515.0,DistalPhalanxTW,1.697245717048645,163.99229431152344,0.05732268467545509,1.0,1.0,1.0,1.0,1.0,1.0
2097922768.0,DistalPhalanxTW,1.7083989381790161,164.66400146484375,0.06175900250673294,1.0,1.0,1.0,1.0,1.0,1.0
2057878440.0,DistalPhalanxTW,1.728065013885498,165.46923828125,0.07337252050638199,1.0,1.0,1.0,1.0,1.0,1.0
2527540355.0,DistalPhalanxTW,1.7669719457626343,165.2783966064453,0.114188052713871,1.0,1.0,1.0,1.0,1.0,1.0
3104471153.0,DistalPhalanxTW,1.7442692518234253,165.12518310546875,0.09301751852035522,1.0,1.0,1.0,1.0,1.0,1.0
510993236.0,DistalPhalanxTW,1.744775652885437,165.151611328125,0.09325964003801346,1.0,1.0,1.0,1.0,1.0,1.0
3096665430.0,DistalPhalanxTW,1.7765377759933472,168.5533905029297,0.0910038948059082,1.0,1.0,1.0,1.0,1.0,1.0
1662263992.0,DistalPhalanxTW,1.7461326122283936,165.0051727294922,0.09608092904090881,1.0,1.0,1.0,1.0,1.0,1.0
median,DistalPhalanxTW,1.7347790002822876,165.24852752685547,0.08385602757334709,1.0,1.0,1.0,1.0,1.0,1.0
mean,DistalPhalanxTW,1.7366269429524739,165.33527526855468,0.08327423855662346,1.0,1.0,1.0,1.0,1.0,1.0
std,DistalPhalanxTW,0.029462557747593404,1.2476699372087547,0.023103059866146466,0.0,0.0,0.0,0.0,0.0,0.0
