seed,dataset,test_loss,test_kl_mean,test_mean_negative_log_likelihood,test_ACC,test_AUPRC,test_AUROC,test_BALACC,test_PRECISION,test_RECALL
2324685444.0,GunPointMaleVersusFemale,1.1501283645629883,109.62296295166016,0.05389874055981636,1.0,1.0,1.0,1.0,1.0,1.0
919640511.0,GunPointMaleVersusFemale,1.1426135301589966,107.76482391357422,0.06496527045965195,1.0,1.0,1.0,1.0,1.0,1.0
1227926698.0,GunPointMaleVersusFemale,1.1419241428375244,108.39481353759766,0.057976093143224716,1.0,1.0,1.0,1.0,1.0,1.0
84993749.0,GunPointMaleVersusFemale,1.1650551557540894,108.24117279052734,0.0826435387134552,1.0,1.0,1.0,1.0,1.0,1.0
3374205678.0,GunPointMaleVersusFemale,1.1772677898406982,109.89479064941406,0.07831988483667374,1.0,1.0,1.0,1.0,1.0,1.0
1528121949.0,GunPointMaleVersusFemale,1.1997253894805908,109.99880981445312,0.09973727911710739,1.0,1.0,1.0,1.0,1.0,1.0
1262430668.0,GunPointMaleVersusFemale,1.1388452053070068,107.64572143554688,0.06238788738846779,1.0,1.0,1.0,1.0,1.0,1.0
3166628499.0,GunPointMaleVersusFemale,1.2061175107955933,110.64131927490234,0.099704310297966,1.0,1.0,1.0,1.0,1.0,1.0
2053708807.0,GunPointMaleVersusFemale,1.16850745677948,109.08787536621094,0.0776287242770195,1.0,1.0,1.0,1.0,1.0,1.0
2947789557.0,GunPointMaleVersusFemale,1.202462077140808,108.16826629638672,0.12077952176332474,1.0,1.0,1.0,1.0,1.0,1.0
4201310557.0,GunPointMaleVersusFemale,1.2006527185440063,108.16390228271484,0.119013711810112,1.0,1.0,1.0,1.0,1.0,1.0
839780421.0,GunPointMaleVersusFemale,1.1365387439727783,106.89939880371094,0.06754463911056519,1.0,1.0,1.0,1.0,1.0,1.0
3587693443.0,GunPointMaleVersusFemale,1.2087485790252686,111.53974151611328,0.09335119277238846,1.0,1.0,1.0,1.0,1.0,1.0
1963487702.0,GunPointMaleVersusFemale,1.2224687337875366,108.51243591308594,0.13734450936317444,1.0,1.0,1.0,1.0,1.0,1.0
3957415062.0,GunPointMaleVersusFemale,1.1310001611709595,108.9971694946289,0.04102844372391701,1.0,1.0,1.0,1.0,1.0,1.0
1011484101.0,GunPointMaleVersusFemale,1.1292705535888672,108.99557495117188,0.03931492939591408,1.0,1.0,1.0,1.0,1.0,1.0
874665068.0,GunPointMaleVersusFemale,1.1648926734924316,108.64022064208984,0.07849054783582687,1.0,1.0,1.0,1.0,1.0,1.0
3939016010.0,GunPointMaleVersusFemale,1.2190537452697754,110.53712463378906,0.1136825680732727,1.0,1.0,1.0,1.0,1.0,1.0
3927996270.0,GunPointMaleVersusFemale,1.248386025428772,109.03963470458984,0.15798978507518768,1.0,1.0,1.0,1.0,1.0,1.0
4085712274.0,GunPointMaleVersusFemale,1.1662521362304688,109.26697540283203,0.07358235865831375,1.0,1.0,1.0,1.0,1.0,1.0
2887298160.0,GunPointMaleVersusFemale,1.1312229633331299,108.49756622314453,0.04624729976058006,1.0,1.0,1.0,1.0,1.0,1.0
4066387655.0,GunPointMaleVersusFemale,1.1709927320480347,108.42857360839844,0.08670700341463089,1.0,1.0,1.0,1.0,1.0,1.0
1306888515.0,GunPointMaleVersusFemale,1.1585078239440918,107.52254486083984,0.08328240364789963,1.0,1.0,1.0,1.0,1.0,1.0
2097922768.0,GunPointMaleVersusFemale,1.184091567993164,109.21464538574219,0.09194523096084595,1.0,1.0,1.0,1.0,1.0,1.0
2057878440.0,GunPointMaleVersusFemale,1.1296954154968262,108.80473327636719,0.04164791852235794,1.0,1.0,1.0,1.0,1.0,1.0
2527540355.0,GunPointMaleVersusFemale,1.2509968280792236,115.32936096191406,0.0977032259106636,1.0,1.0,1.0,1.0,1.0,1.0
3104471153.0,GunPointMaleVersusFemale,1.1777263879776,109.94852447509766,0.07824113965034485,1.0,1.0,1.0,1.0,1.0,1.0
510993236.0,GunPointMaleVersusFemale,1.2479281425476074,111.72486877441406,0.13067959249019623,1.0,1.0,1.0,1.0,1.0,1.0
3096665430.0,GunPointMaleVersusFemale,1.113752841949463,108.07112884521484,0.033041663467884064,1.0,1.0,1.0,1.0,1.0,1.0
1662263992.0,GunPointMaleVersusFemale,1.141083836555481,109.06437683105469,0.0504402257502079,1.0,1.0,1.0,1.0,1.0,1.0
median,GunPointMaleVersusFemale,1.1673797965049744,108.99637222290039,0.0784052163362503,1.0,1.0,1.0,1.0,1.0,1.0
mean,GunPointMaleVersusFemale,1.174196974436442,109.22196858723959,0.08197732133169969,1.0,1.0,1.0,1.0,1.0,1.0
std,GunPointMaleVersusFemale,0.03892238966738421,1.6067374362818692,0.031289604902631274,0.0,0.0,0.0,0.0,0.0,0.0
