seed,dataset,test_loss,test_kl_mean,test_mean_negative_log_likelihood,test_ACC,test_AUPRC,test_AUROC,test_BALACC,test_PRECISION,test_RECALL
2324685444.0,GunPointOldVersusYoung,1.5276392698287964,122.86776733398438,0.29896169900894165,1.0,1.0,1.0,1.0,1.0,1.0
919640511.0,GunPointOldVersusYoung,1.4948350191116333,118.61449432373047,0.30869022011756897,1.0,1.0,1.0,1.0,1.0,1.0
1227926698.0,GunPointOldVersusYoung,1.450669288635254,119.09664916992188,0.25970274209976196,1.0,1.0,1.0,1.0,1.0,1.0
84993749.0,GunPointOldVersusYoung,1.4600101709365845,115.9306411743164,0.3007037043571472,1.0,1.0,1.0,1.0,1.0,1.0
3374205678.0,GunPointOldVersusYoung,1.4670113325119019,116.7580337524414,0.2994309365749359,1.0,1.0,1.0,1.0,1.0,1.0
1528121949.0,GunPointOldVersusYoung,1.149228572845459,110.53412628173828,0.0438871793448925,1.0,1.0,1.0,1.0,1.0,1.0
1262430668.0,GunPointOldVersusYoung,1.44438636302948,117.58397674560547,0.26854658126831055,1.0,1.0,1.0,1.0,1.0,1.0
3166628499.0,GunPointOldVersusYoung,1.47420072555542,114.78242492675781,0.3263764977455139,1.0,1.0,1.0,1.0,1.0,1.0
2053708807.0,GunPointOldVersusYoung,1.2641024589538574,115.30512237548828,0.11105133593082428,1.0,1.0,1.0,1.0,1.0,1.0
2947789557.0,GunPointOldVersusYoung,1.5518238544464111,118.07659912109375,0.3710578978061676,1.0,1.0,1.0,1.0,1.0,1.0
4201310557.0,GunPointOldVersusYoung,1.4139363765716553,114.32848358154297,0.27065157890319824,1.0,1.0,1.0,1.0,1.0,1.0
839780421.0,GunPointOldVersusYoung,1.3805146217346191,112.76402282714844,0.25287437438964844,1.0,1.0,1.0,1.0,1.0,1.0
3587693443.0,GunPointOldVersusYoung,1.4958077669143677,115.58380126953125,0.3399699032306671,1.0,1.0,1.0,1.0,1.0,1.0
1963487702.0,GunPointOldVersusYoung,1.4647343158721924,117.337646484375,0.2913578748703003,1.0,1.0,1.0,1.0,1.0,1.0
3957415062.0,GunPointOldVersusYoung,1.5189462900161743,120.05062866210938,0.3184400200843811,1.0,1.0,1.0,1.0,1.0,1.0
1011484101.0,GunPointOldVersusYoung,1.377139687538147,114.79657745361328,0.22917407751083374,1.0,1.0,1.0,1.0,1.0,1.0
874665068.0,GunPointOldVersusYoung,1.4206589460372925,116.93755340576172,0.2512834668159485,1.0,1.0,1.0,1.0,1.0,1.0
3939016010.0,GunPointOldVersusYoung,1.4661797285079956,116.26958465576172,0.3034839332103729,1.0,1.0,1.0,1.0,1.0,1.0
3927996270.0,GunPointOldVersusYoung,1.44866144657135,115.4887924194336,0.2937736213207245,1.0,1.0,1.0,1.0,1.0,1.0
4085712274.0,GunPointOldVersusYoung,1.4975404739379883,118.42195892333984,0.31332090497016907,1.0,1.0,1.0,1.0,1.0,1.0
2887298160.0,GunPointOldVersusYoung,1.4233684539794922,116.6314697265625,0.2570536434650421,1.0,1.0,1.0,1.0,1.0,1.0
4066387655.0,GunPointOldVersusYoung,1.5121535062789917,116.40306091308594,0.34812286496162415,1.0,1.0,1.0,1.0,1.0,1.0
1306888515.0,GunPointOldVersusYoung,1.533342957496643,119.0665054321289,0.34267792105674744,1.0,1.0,1.0,1.0,1.0,1.0
2097922768.0,GunPointOldVersusYoung,1.5221761465072632,117.06137084960938,0.3515624701976776,1.0,1.0,1.0,1.0,1.0,1.0
2057878440.0,GunPointOldVersusYoung,1.5325140953063965,119.11871337890625,0.3413270115852356,1.0,1.0,1.0,1.0,1.0,1.0
2527540355.0,GunPointOldVersusYoung,1.524208903312683,117.83484649658203,0.34586048126220703,1.0,1.0,1.0,1.0,1.0,1.0
3104471153.0,GunPointOldVersusYoung,1.4046149253845215,115.31111145019531,0.25150376558303833,1.0,1.0,1.0,1.0,1.0,1.0
510993236.0,GunPointOldVersusYoung,1.4952492713928223,116.53335571289062,0.32991552352905273,1.0,1.0,1.0,1.0,1.0,1.0
3096665430.0,GunPointOldVersusYoung,1.4263488054275513,114.84246063232422,0.2779242694377899,1.0,1.0,1.0,1.0,1.0,1.0
1662263992.0,GunPointOldVersusYoung,1.3964427709579468,114.8204345703125,0.24823831021785736,1.0,1.0,1.0,1.0,1.0,1.0
median,GunPointOldVersusYoung,1.465457022190094,116.58241271972656,0.2991963177919388,1.0,1.0,1.0,1.0,1.0,1.0
mean,GunPointOldVersusYoung,1.4512815515200297,116.63840713500977,0.2848974936952194,1.0,1.0,1.0,1.0,1.0,1.0
std,GunPointOldVersusYoung,0.08363607743881321,2.3374256272161706,0.06809365159172487,0.0,0.0,0.0,0.0,0.0,0.0
