seed,dataset,test_loss,test_kl_mean,test_mean_negative_log_likelihood,test_ACC,test_AUPRC,test_AUROC,test_BALACC,test_PRECISION,test_RECALL
2324685444.0,Herring,1.6200876235961914,103.47586059570312,0.5853290557861328,1.0,1.0,1.0,1.0,1.0,1.0
919640511.0,Herring,1.57830810546875,103.71446228027344,0.5411635637283325,1.0,1.0,1.0,1.0,1.0,1.0
1227926698.0,Herring,1.5075554847717285,105.77766418457031,0.44977885484695435,1.0,1.0,1.0,1.0,1.0,1.0
84993749.0,Herring,1.5642685890197754,104.10222625732422,0.5232464075088501,1.0,1.0,1.0,1.0,1.0,1.0
3374205678.0,Herring,1.702721118927002,103.81653594970703,0.6645557284355164,1.0,1.0,1.0,1.0,1.0,1.0
1528121949.0,Herring,1.671062707901001,104.18949890136719,0.6291676759719849,1.0,1.0,1.0,1.0,1.0,1.0
1262430668.0,Herring,1.5826420783996582,104.29153442382812,0.5397268533706665,1.0,1.0,1.0,1.0,1.0,1.0
3166628499.0,Herring,1.5920310020446777,104.44284057617188,0.5476025938987732,1.0,1.0,1.0,1.0,1.0,1.0
2053708807.0,Herring,1.6022204160690308,104.12125396728516,0.5610078573226929,1.0,1.0,1.0,1.0,1.0,1.0
2947789557.0,Herring,1.6290802955627441,103.80076599121094,0.5910725593566895,1.0,1.0,1.0,1.0,1.0,1.0
4201310557.0,Herring,1.6676537990570068,103.24983215332031,0.635155439376831,1.0,1.0,1.0,1.0,1.0,1.0
839780421.0,Herring,1.6735460758209229,103.7652359008789,0.635893702507019,1.0,1.0,1.0,1.0,1.0,1.0
3587693443.0,Herring,1.6445404291152954,103.84232330322266,0.6061172485351562,1.0,1.0,1.0,1.0,1.0,1.0
1963487702.0,Herring,1.5806318521499634,103.91571044921875,0.5414748787879944,1.0,1.0,1.0,1.0,1.0,1.0
3957415062.0,Herring,1.5866632461547852,103.91960144042969,0.5474671721458435,1.0,1.0,1.0,1.0,1.0,1.0
1011484101.0,Herring,1.6989872455596924,103.69367218017578,0.6620506048202515,1.0,1.0,1.0,1.0,1.0,1.0
874665068.0,Herring,1.6202483177185059,103.90184020996094,0.5812299251556396,1.0,1.0,1.0,1.0,1.0,1.0
3939016010.0,Herring,1.670804500579834,103.18346405029297,0.6389700174331665,1.0,1.0,1.0,1.0,1.0,1.0
3927996270.0,Herring,1.603334665298462,102.99119567871094,0.5734227895736694,1.0,1.0,1.0,1.0,1.0,1.0
4085712274.0,Herring,1.6536550521850586,104.24304962158203,0.6112246513366699,1.0,1.0,1.0,1.0,1.0,1.0
2887298160.0,Herring,1.540560007095337,105.0821762084961,0.48973822593688965,1.0,1.0,1.0,1.0,1.0,1.0
4066387655.0,Herring,1.551957368850708,105.21864318847656,0.49977096915245056,1.0,1.0,1.0,1.0,1.0,1.0
1306888515.0,Herring,1.603255033493042,104.46932983398438,0.5585617423057556,1.0,1.0,1.0,1.0,1.0,1.0
2097922768.0,Herring,1.5526307821273804,103.85910034179688,0.5140397548675537,1.0,1.0,1.0,1.0,1.0,1.0
2057878440.0,Herring,1.6929996013641357,103.95510864257812,0.6534485816955566,1.0,1.0,1.0,1.0,1.0,1.0
2527540355.0,Herring,1.6138924360275269,104.00201416015625,0.5738723278045654,1.0,1.0,1.0,1.0,1.0,1.0
3104471153.0,Herring,1.6147832870483398,104.15971374511719,0.5731861591339111,1.0,1.0,1.0,1.0,1.0,1.0
510993236.0,Herring,1.6360493898391724,103.36634826660156,0.6023858785629272,1.0,1.0,1.0,1.0,1.0,1.0
3096665430.0,Herring,1.5920213460922241,104.09974670410156,0.5510239005088806,1.0,1.0,1.0,1.0,1.0,1.0
1662263992.0,Herring,1.6538560390472412,103.51458740234375,0.6187101602554321,1.0,1.0,1.0,1.0,1.0,1.0
median,Herring,1.6143378615379333,103.91765594482422,0.5736475586891174,1.0,1.0,1.0,1.0,1.0,1.0
mean,Herring,1.6167349298795064,104.00551122029623,0.5766798426707586,1.0,1.0,1.0,1.0,1.0,1.0
std,Herring,0.04953800814056042,0.587371242243929,0.05331719864573019,0.0,0.0,0.0,0.0,0.0,0.0
