seed,dataset,test_loss,test_kl_mean,test_mean_negative_log_likelihood,test_ACC,test_AUPRC,test_AUROC,test_BALACC,test_PRECISION,test_RECALL
2324685444.0,ItalyPowerDemand,1.1108232736587524,107.63443756103516,0.034478604793548584,1.0,1.0,1.0,1.0,1.0,1.0
919640511.0,ItalyPowerDemand,1.1396920680999756,109.2441635131836,0.04725024104118347,1.0,1.0,1.0,1.0,1.0,1.0
1227926698.0,ItalyPowerDemand,1.0873206853866577,105.93071746826172,0.028013600036501884,0.999028205871582,0.9999924898147583,0.9999924898147583,0.999028205871582,1.0,0.998062014579773
84993749.0,ItalyPowerDemand,1.1131575107574463,107.6410140991211,0.03674750775098801,1.0,1.0,1.0,1.0,1.0,1.0
3374205678.0,ItalyPowerDemand,1.1221414804458618,108.6522445678711,0.035619210451841354,1.0,1.0,1.0,1.0,1.0,1.0
1528121949.0,ItalyPowerDemand,1.100867748260498,107.27622985839844,0.028105562552809715,1.0,1.0,1.0,1.0,1.0,1.0
1262430668.0,ItalyPowerDemand,1.0998642444610596,107.3305892944336,0.02655837871134281,1.0,1.0,1.0,1.0,1.0,1.0
3166628499.0,ItalyPowerDemand,1.1272578239440918,110.07754516601562,0.02648240514099598,1.0,1.0,1.0,1.0,1.0,1.0
2053708807.0,ItalyPowerDemand,1.099169135093689,107.03223419189453,0.028846731409430504,1.0,1.0,1.0,1.0,1.0,1.0
2947789557.0,ItalyPowerDemand,1.0726405382156372,105.14752960205078,0.021165387704968452,0.999028205871582,0.9999814033508301,0.9999811053276062,0.999028205871582,1.0,0.998062014579773
4201310557.0,ItalyPowerDemand,1.1078078746795654,108.08228302001953,0.02698505111038685,1.0,1.0,1.0,1.0,1.0,1.0
839780421.0,ItalyPowerDemand,1.6608108282089233,105.73006439208984,0.6035102009773254,0.999028205871582,0.9999850988388062,0.999984860420227,0.999028205871582,1.0,0.998062014579773
3587693443.0,ItalyPowerDemand,1.1294881105422974,109.54877471923828,0.03400053083896637,1.0,1.0,1.0,1.0,1.0,1.0
1963487702.0,ItalyPowerDemand,1.1335176229476929,108.82991027832031,0.04521884024143219,1.0,1.0,1.0,1.0,1.0,1.0
3957415062.0,ItalyPowerDemand,1.0869691371917725,106.64678192138672,0.020501377061009407,1.0,1.0,1.0,1.0,1.0,1.0
1011484101.0,ItalyPowerDemand,1.1498342752456665,110.02166748046875,0.04961762577295303,1.0,1.0,1.0,1.0,1.0,1.0
874665068.0,ItalyPowerDemand,1.1157375574111938,107.75167846679688,0.0382208488881588,1.0,1.0,1.0,1.0,1.0,1.0
3939016010.0,ItalyPowerDemand,1.13767409324646,110.60619354248047,0.03161216899752617,1.0,1.0,1.0,1.0,1.0,1.0
3927996270.0,ItalyPowerDemand,1.0877435207366943,106.23627471923828,0.025380872189998627,0.999028205871582,0.9999924898147583,0.9999924302101135,0.999028205871582,0.9980657696723938,1.0
4085712274.0,ItalyPowerDemand,1.1117448806762695,108.83553314208984,0.023389562964439392,1.0,1.0,1.0,1.0,1.0,1.0
2887298160.0,ItalyPowerDemand,1.0993624925613403,106.73533630371094,0.032009173184633255,0.999028205871582,0.9999849796295166,0.999984860420227,0.999028205871582,0.9980657696723938,1.0
4066387655.0,ItalyPowerDemand,1.1371062994003296,109.17605590820312,0.04534566402435303,1.0,1.0,1.0,1.0,1.0,1.0
1306888515.0,ItalyPowerDemand,1.1307544708251953,110.71372985839844,0.02361707203090191,1.0,1.0,1.0,1.0,1.0,1.0
2097922768.0,ItalyPowerDemand,1.113091230392456,109.6563491821289,0.016527695581316948,1.0,1.0,1.0,1.0,1.0,1.0
2057878440.0,ItalyPowerDemand,1.149716854095459,109.80868530273438,0.05163005366921425,1.0,1.0,1.0,1.0,1.0,1.0
2527540355.0,ItalyPowerDemand,1.0904622077941895,107.65620422363281,0.01390011515468359,1.0,1.0,1.0,1.0,1.0,1.0
3104471153.0,ItalyPowerDemand,1.126948356628418,108.60376739501953,0.04091063141822815,1.0,1.0,1.0,1.0,1.0,1.0
510993236.0,ItalyPowerDemand,1.1083775758743286,107.46212768554688,0.03375621512532234,1.0,1.0,1.0,1.0,1.0,1.0
3096665430.0,ItalyPowerDemand,1.0960341691970825,107.15196228027344,0.02451462112367153,1.0,1.0,1.0,1.0,1.0,1.0
1662263992.0,ItalyPowerDemand,1.1091396808624268,107.55797576904297,0.03355995565652847,1.0,1.0,1.0,1.0,1.0,1.0
median,ItalyPowerDemand,1.1124180555343628,107.70394134521484,0.03181067109107971,1.0,1.0,1.0,1.0,1.0,1.0
mean,ItalyPowerDemand,1.1318418582280476,108.0926020304362,0.05091586352015535,0.9998380343119303,0.999997882048289,0.9999978582064311,0.9998380343119303,0.9998710513114929,0.9998062014579773
std,ItalyPowerDemand,0.10183093834934741,1.4797252032108568,0.10480315946619645,0.000368357613757585,5.158607390112793e-06,5.224308589127925e-06,0.000368357613757585,0.0004907299626992094,0.0005913347328023395
