seed,dataset,test_loss,test_kl_mean,test_mean_negative_log_likelihood,test_ACC,test_AUPRC,test_AUROC,test_BALACC,test_PRECISION,test_RECALL
2324685444.0,MiddlePhalanxOutlineCorrect,3.081073045730591,265.7679138183594,0.42339396476745605,1.0,1.0,1.0,1.0,1.0,1.0
919640511.0,MiddlePhalanxOutlineCorrect,3.118220567703247,264.9294128417969,0.4689262807369232,1.0,1.0,1.0,1.0,1.0,1.0
1227926698.0,MiddlePhalanxOutlineCorrect,3.1383559703826904,264.1279602050781,0.49707651138305664,1.0,1.0,1.0,1.0,1.0,1.0
84993749.0,MiddlePhalanxOutlineCorrect,3.149818181991577,266.0340270996094,0.489478200674057,1.0,1.0,1.0,1.0,1.0,1.0
3374205678.0,MiddlePhalanxOutlineCorrect,3.091675043106079,266.01904296875,0.43148452043533325,1.0,1.0,1.0,1.0,1.0,1.0
1528121949.0,MiddlePhalanxOutlineCorrect,3.1282331943511963,265.7932434082031,0.4703005254268646,1.0,1.0,1.0,1.0,1.0,1.0
1262430668.0,MiddlePhalanxOutlineCorrect,3.14054536819458,264.093505859375,0.49961039423942566,1.0,1.0,1.0,1.0,1.0,1.0
3166628499.0,MiddlePhalanxOutlineCorrect,3.1249020099639893,266.5943908691406,0.45895814895629883,1.0,1.0,1.0,1.0,1.0,1.0
2053708807.0,MiddlePhalanxOutlineCorrect,3.0586800575256348,264.4294738769531,0.41438549757003784,1.0,1.0,1.0,1.0,1.0,1.0
2947789557.0,MiddlePhalanxOutlineCorrect,3.040881395339966,264.14483642578125,0.39943310618400574,1.0,1.0,1.0,1.0,1.0,1.0
4201310557.0,MiddlePhalanxOutlineCorrect,3.1542863845825195,263.9647521972656,0.514639139175415,1.0,1.0,1.0,1.0,1.0,1.0
839780421.0,MiddlePhalanxOutlineCorrect,3.088318109512329,265.0128173828125,0.43819016218185425,1.0,1.0,1.0,1.0,1.0,1.0
3587693443.0,MiddlePhalanxOutlineCorrect,3.269437074661255,265.357421875,0.6158631443977356,1.0,1.0,1.0,1.0,1.0,1.0
1963487702.0,MiddlePhalanxOutlineCorrect,3.1270956993103027,264.7480163574219,0.4796158969402313,1.0,1.0,1.0,1.0,1.0,1.0
3957415062.0,MiddlePhalanxOutlineCorrect,3.0873188972473145,265.6396789550781,0.43092212080955505,1.0,1.0,1.0,1.0,1.0,1.0
1011484101.0,MiddlePhalanxOutlineCorrect,3.2564754486083984,265.3385009765625,0.6030905842781067,1.0,1.0,1.0,1.0,1.0,1.0
874665068.0,MiddlePhalanxOutlineCorrect,3.180318593978882,263.7940673828125,0.5423782467842102,1.0,1.0,1.0,1.0,1.0,1.0
3939016010.0,MiddlePhalanxOutlineCorrect,3.2616708278656006,262.75360107421875,0.6341349482536316,1.0,1.0,1.0,1.0,1.0,1.0
3927996270.0,MiddlePhalanxOutlineCorrect,3.0676753520965576,265.6104431152344,0.41157078742980957,1.0,1.0,1.0,1.0,1.0,1.0
4085712274.0,MiddlePhalanxOutlineCorrect,3.0900063514709473,266.67755126953125,0.4232306480407715,1.0,1.0,1.0,1.0,1.0,1.0
2887298160.0,MiddlePhalanxOutlineCorrect,3.1794111728668213,264.9266052246094,0.530144989490509,1.0,1.0,1.0,1.0,1.0,1.0
4066387655.0,MiddlePhalanxOutlineCorrect,3.263073444366455,264.89788818359375,0.6140946745872498,1.0,1.0,1.0,1.0,1.0,1.0
1306888515.0,MiddlePhalanxOutlineCorrect,3.109647512435913,265.5444030761719,0.45420369505882263,1.0,1.0,1.0,1.0,1.0,1.0
2097922768.0,MiddlePhalanxOutlineCorrect,3.098668098449707,264.66015625,0.45206668972969055,1.0,1.0,1.0,1.0,1.0,1.0
2057878440.0,MiddlePhalanxOutlineCorrect,3.1664016246795654,266.4197998046875,0.5022034645080566,1.0,1.0,1.0,1.0,1.0,1.0
2527540355.0,MiddlePhalanxOutlineCorrect,3.1708292961120605,265.0558776855469,0.5202704668045044,1.0,1.0,1.0,1.0,1.0,1.0
3104471153.0,MiddlePhalanxOutlineCorrect,3.1337075233459473,265.59991455078125,0.4777085483074188,1.0,1.0,1.0,1.0,1.0,1.0
510993236.0,MiddlePhalanxOutlineCorrect,3.0552515983581543,266.0886535644531,0.3943653106689453,1.0,1.0,1.0,1.0,1.0,1.0
3096665430.0,MiddlePhalanxOutlineCorrect,3.1257195472717285,264.6304931640625,0.4794147312641144,1.0,1.0,1.0,1.0,1.0,1.0
1662263992.0,MiddlePhalanxOutlineCorrect,3.1109488010406494,264.94952392578125,0.46145305037498474,1.0,1.0,1.0,1.0,1.0,1.0
median,MiddlePhalanxOutlineCorrect,3.1264076232910156,265.0343475341797,0.4740045368671417,1.0,1.0,1.0,1.0,1.0,1.0
mean,MiddlePhalanxOutlineCorrect,3.1356215397516887,265.12013244628906,0.4844202816486359,1.0,1.0,1.0,1.0,1.0,1.0
std,MiddlePhalanxOutlineCorrect,0.06218835583845567,0.903723945411982,0.0652458347799094,0.0,0.0,0.0,0.0,0.0,0.0
