seed,dataset,test_loss,test_kl_mean,test_mean_negative_log_likelihood,test_ACC,test_AUPRC,test_AUROC,test_BALACC,test_PRECISION,test_RECALL
2324685444.0,MiddlePhalanxTW,1.8103084564208984,170.4067840576172,0.10624069720506668,1.0,1.0,1.0,1.0,1.0,1.0
919640511.0,MiddlePhalanxTW,1.794633150100708,168.88803100585938,0.10575288534164429,1.0,1.0,1.0,1.0,1.0,1.0
1227926698.0,MiddlePhalanxTW,1.8132944107055664,169.54969787597656,0.11779762804508209,1.0,1.0,1.0,1.0,1.0,1.0
84993749.0,MiddlePhalanxTW,1.8341548442840576,170.61911010742188,0.12796375155448914,1.0,1.0,1.0,1.0,1.0,1.0
3374205678.0,MiddlePhalanxTW,1.7784827947616577,168.95863342285156,0.08889658004045486,1.0,1.0,1.0,1.0,1.0,1.0
1528121949.0,MiddlePhalanxTW,1.8353275060653687,170.13397216796875,0.1339879035949707,1.0,1.0,1.0,1.0,1.0,1.0
1262430668.0,MiddlePhalanxTW,1.8035203218460083,167.6498260498047,0.12702198326587677,1.0,1.0,1.0,1.0,1.0,1.0
3166628499.0,MiddlePhalanxTW,1.8112101554870605,170.19227600097656,0.10928728431463242,1.0,1.0,1.0,1.0,1.0,1.0
2053708807.0,MiddlePhalanxTW,1.920436143875122,171.72979736328125,0.20313803851604462,1.0,1.0,1.0,1.0,1.0,1.0
2947789557.0,MiddlePhalanxTW,1.813652515411377,169.5745391845703,0.11790724843740463,1.0,1.0,1.0,1.0,1.0,1.0
4201310557.0,MiddlePhalanxTW,1.7872036695480347,168.82505798339844,0.09895312041044235,1.0,1.0,1.0,1.0,1.0,1.0
839780421.0,MiddlePhalanxTW,1.8270577192306519,168.34732055664062,0.14358443021774292,1.0,1.0,1.0,1.0,1.0,1.0
3587693443.0,MiddlePhalanxTW,1.8581632375717163,170.37353515625,0.1544279158115387,1.0,1.0,1.0,1.0,1.0,1.0
1963487702.0,MiddlePhalanxTW,1.7976768016815186,168.88714599609375,0.10880532115697861,1.0,1.0,1.0,1.0,1.0,1.0
3957415062.0,MiddlePhalanxTW,1.7766402959823608,168.62062072753906,0.09043411910533905,1.0,1.0,1.0,1.0,1.0,1.0
1011484101.0,MiddlePhalanxTW,1.8201398849487305,170.06077575683594,0.11953209340572357,1.0,1.0,1.0,1.0,1.0,1.0
874665068.0,MiddlePhalanxTW,1.8105902671813965,169.0248565673828,0.12034180760383606,1.0,1.0,1.0,1.0,1.0,1.0
3939016010.0,MiddlePhalanxTW,1.8028762340545654,169.32167053222656,0.10965968668460846,1.0,1.0,1.0,1.0,1.0,1.0
3927996270.0,MiddlePhalanxTW,1.8388384580612183,168.87005615234375,0.15013805031776428,1.0,1.0,1.0,1.0,1.0,1.0
4085712274.0,MiddlePhalanxTW,1.8501293659210205,172.95083618164062,0.12062104046344757,1.0,1.0,1.0,1.0,1.0,1.0
2887298160.0,MiddlePhalanxTW,1.8342922925949097,170.03219604492188,0.13397040963172913,1.0,1.0,1.0,1.0,1.0,1.0
4066387655.0,MiddlePhalanxTW,1.7890944480895996,169.44638061523438,0.09463079273700714,1.0,1.0,1.0,1.0,1.0,1.0
1306888515.0,MiddlePhalanxTW,1.8337405920028687,169.24920654296875,0.14124858379364014,1.0,1.0,1.0,1.0,1.0,1.0
2097922768.0,MiddlePhalanxTW,1.8067301511764526,169.31028747558594,0.11362749338150024,1.0,1.0,1.0,1.0,1.0,1.0
2057878440.0,MiddlePhalanxTW,1.79719877243042,169.9086151123047,0.09811278432607651,1.0,1.0,1.0,1.0,1.0,1.0
2527540355.0,MiddlePhalanxTW,1.8114374876022339,170.5363311767578,0.10607437044382095,1.0,1.0,1.0,1.0,1.0,1.0
3104471153.0,MiddlePhalanxTW,1.8578697443008423,171.70574951171875,0.14081209897994995,1.0,1.0,1.0,1.0,1.0,1.0
510993236.0,MiddlePhalanxTW,1.8110809326171875,169.0383758544922,0.12069717049598694,1.0,1.0,1.0,1.0,1.0,1.0
3096665430.0,MiddlePhalanxTW,1.7682563066482544,168.3090057373047,0.08516621589660645,1.0,1.0,1.0,1.0,1.0,1.0
1662263992.0,MiddlePhalanxTW,1.855100154876709,172.07533264160156,0.13434699177742004,1.0,1.0,1.0,1.0,1.0,1.0
median,MiddlePhalanxTW,1.8113238215446472,169.49803924560547,0.1187196709215641,1.0,1.0,1.0,1.0,1.0,1.0
mean,MiddlePhalanxTW,1.8183045705159506,169.75320078531902,0.1207726165652275,1.0,1.0,1.0,1.0,1.0,1.0
std,MiddlePhalanxTW,0.030781188546963153,1.1952744581015657,0.024027805392647313,0.0,0.0,0.0,0.0,0.0,0.0
