seed,dataset,test_loss,test_kl_mean,test_mean_negative_log_likelihood,test_ACC,test_AUPRC,test_AUROC,test_BALACC,test_PRECISION,test_RECALL
2324685444.0,ProximalPhalanxOutlineCorrect,3.0296640396118164,265.5227355957031,0.37443670630455017,1.0,1.0,1.0,1.0,1.0,1.0
919640511.0,ProximalPhalanxOutlineCorrect,3.1277682781219482,265.96636962890625,0.46810483932495117,1.0,1.0,1.0,1.0,1.0,1.0
1227926698.0,ProximalPhalanxOutlineCorrect,3.0687708854675293,264.0975036621094,0.4277958869934082,1.0,1.0,1.0,1.0,1.0,1.0
84993749.0,ProximalPhalanxOutlineCorrect,3.125368595123291,264.6175231933594,0.4791930913925171,1.0,1.0,1.0,1.0,1.0,1.0
3374205678.0,ProximalPhalanxOutlineCorrect,3.071605682373047,267.60205078125,0.3955855369567871,1.0,1.0,1.0,1.0,1.0,1.0
1528121949.0,ProximalPhalanxOutlineCorrect,3.1194980144500732,264.9076232910156,0.4704219698905945,1.0,1.0,1.0,1.0,1.0,1.0
1262430668.0,ProximalPhalanxOutlineCorrect,3.0232794284820557,265.1579895019531,0.37169960141181946,1.0,1.0,1.0,1.0,1.0,1.0
3166628499.0,ProximalPhalanxOutlineCorrect,2.9382972717285156,268.4759216308594,0.2535380721092224,1.0,1.0,1.0,1.0,1.0,1.0
2053708807.0,ProximalPhalanxOutlineCorrect,3.064194679260254,263.7109680175781,0.42708542943000793,1.0,1.0,1.0,1.0,1.0,1.0
2947789557.0,ProximalPhalanxOutlineCorrect,3.0896096229553223,264.0958557128906,0.44865113496780396,1.0,1.0,1.0,1.0,1.0,1.0
4201310557.0,ProximalPhalanxOutlineCorrect,3.0810399055480957,263.55389404296875,0.44550085067749023,1.0,1.0,1.0,1.0,1.0,1.0
839780421.0,ProximalPhalanxOutlineCorrect,3.0946907997131348,263.4604187011719,0.46008679270744324,1.0,1.0,1.0,1.0,1.0,1.0
3587693443.0,ProximalPhalanxOutlineCorrect,2.9775893688201904,266.1058349609375,0.3165314495563507,1.0,1.0,1.0,1.0,1.0,1.0
1963487702.0,ProximalPhalanxOutlineCorrect,3.0784342288970947,265.262451171875,0.42580971121788025,1.0,1.0,1.0,1.0,1.0,1.0
3957415062.0,ProximalPhalanxOutlineCorrect,3.015162706375122,264.6588439941406,0.36857399344444275,1.0,1.0,1.0,1.0,1.0,1.0
1011484101.0,ProximalPhalanxOutlineCorrect,3.0768818855285645,266.2309875488281,0.41457197070121765,1.0,1.0,1.0,1.0,1.0,1.0
874665068.0,ProximalPhalanxOutlineCorrect,2.9324350357055664,266.46160888671875,0.2678188681602478,1.0,1.0,1.0,1.0,1.0,1.0
3939016010.0,ProximalPhalanxOutlineCorrect,3.1955366134643555,261.9055480957031,0.5764809846878052,1.0,1.0,1.0,1.0,1.0,1.0
3927996270.0,ProximalPhalanxOutlineCorrect,3.087444543838501,264.1683044433594,0.44576165080070496,1.0,1.0,1.0,1.0,1.0,1.0
4085712274.0,ProximalPhalanxOutlineCorrect,3.068669319152832,265.5476379394531,0.41319307684898376,1.0,1.0,1.0,1.0,1.0,1.0
2887298160.0,ProximalPhalanxOutlineCorrect,3.1392648220062256,265.561279296875,0.48365259170532227,1.0,1.0,1.0,1.0,1.0,1.0
4066387655.0,ProximalPhalanxOutlineCorrect,3.041780948638916,265.47869873046875,0.3869941234588623,1.0,1.0,1.0,1.0,1.0,1.0
1306888515.0,ProximalPhalanxOutlineCorrect,3.092747688293457,265.34027099609375,0.43934527039527893,1.0,1.0,1.0,1.0,1.0,1.0
2097922768.0,ProximalPhalanxOutlineCorrect,3.046424388885498,263.2781982421875,0.4136430323123932,1.0,1.0,1.0,1.0,1.0,1.0
2057878440.0,ProximalPhalanxOutlineCorrect,2.966827869415283,265.2847900390625,0.3139800429344177,1.0,1.0,1.0,1.0,1.0,1.0
2527540355.0,ProximalPhalanxOutlineCorrect,2.9010558128356934,267.5859069824219,0.22519676387310028,1.0,1.0,1.0,1.0,1.0,1.0
3104471153.0,ProximalPhalanxOutlineCorrect,2.9816205501556396,265.5843200683594,0.3257770836353302,1.0,1.0,1.0,1.0,1.0,1.0
510993236.0,ProximalPhalanxOutlineCorrect,3.1259286403656006,264.63970947265625,0.47953173518180847,1.0,1.0,1.0,1.0,1.0,1.0
3096665430.0,ProximalPhalanxOutlineCorrect,2.947887897491455,266.29510498046875,0.28493693470954895,1.0,1.0,1.0,1.0,1.0,1.0
1662263992.0,ProximalPhalanxOutlineCorrect,2.9422693252563477,265.8581848144531,0.2836872637271881,1.0,1.0,1.0,1.0,1.0,1.0
median,ProximalPhalanxOutlineCorrect,3.0687201023101807,265.3125305175781,0.4141075015068054,1.0,1.0,1.0,1.0,1.0,1.0
mean,ProximalPhalanxOutlineCorrect,3.0483916282653807,265.21388448079426,0.39625288198391595,1.0,1.0,1.0,1.0,1.0,1.0
std,ProximalPhalanxOutlineCorrect,0.07235657838630997,1.3837350523229364,0.0816013401458536,0.0,0.0,0.0,0.0,0.0,0.0
