seed,dataset,test_loss,test_kl_mean,test_mean_negative_log_likelihood,test_ACC,test_AUPRC,test_AUROC,test_BALACC,test_PRECISION,test_RECALL
2324685444.0,ProximalPhalanxTW,1.7899360656738281,167.60153198242188,0.11392083764076233,1.0,1.0,1.0,1.0,1.0,1.0
919640511.0,ProximalPhalanxTW,1.734270453453064,163.43948364257812,0.09987577050924301,1.0,1.0,1.0,1.0,1.0,1.0
1227926698.0,ProximalPhalanxTW,1.8012757301330566,165.08224487304688,0.15045318007469177,1.0,1.0,1.0,1.0,1.0,1.0
84993749.0,ProximalPhalanxTW,1.8017812967300415,166.3771209716797,0.13801045715808868,1.0,1.0,1.0,1.0,1.0,1.0
3374205678.0,ProximalPhalanxTW,1.7893586158752441,165.99139404296875,0.12944470345973969,1.0,1.0,1.0,1.0,1.0,1.0
1528121949.0,ProximalPhalanxTW,1.7610642910003662,164.27362060546875,0.11832805722951889,1.0,1.0,1.0,1.0,1.0,1.0
1262430668.0,ProximalPhalanxTW,1.7317317724227905,165.0833282470703,0.08089833706617355,1.0,1.0,1.0,1.0,1.0,1.0
3166628499.0,ProximalPhalanxTW,1.7539441585540771,165.822021484375,0.09572388231754303,1.0,1.0,1.0,1.0,1.0,1.0
2053708807.0,ProximalPhalanxTW,1.7699787616729736,165.0320281982422,0.1196582019329071,1.0,1.0,1.0,1.0,1.0,1.0
2947789557.0,ProximalPhalanxTW,1.7558242082595825,163.87985229492188,0.1170254796743393,1.0,1.0,1.0,1.0,1.0,1.0
4201310557.0,ProximalPhalanxTW,1.7641609907150269,163.3871612548828,0.13028965890407562,1.0,1.0,1.0,1.0,1.0,1.0
839780421.0,ProximalPhalanxTW,1.773934245109558,165.52456665039062,0.11868876218795776,1.0,1.0,1.0,1.0,1.0,1.0
3587693443.0,ProximalPhalanxTW,1.7353378534317017,165.00209045410156,0.08531701564788818,1.0,1.0,1.0,1.0,1.0,1.0
1963487702.0,ProximalPhalanxTW,1.7501142024993896,164.6521759033203,0.10359232872724533,1.0,1.0,1.0,1.0,1.0,1.0
3957415062.0,ProximalPhalanxTW,1.7326706647872925,165.0230712890625,0.08243999630212784,1.0,1.0,1.0,1.0,1.0,1.0
1011484101.0,ProximalPhalanxTW,1.7504794597625732,165.69189453125,0.09356053173542023,1.0,1.0,1.0,1.0,1.0,1.0
874665068.0,ProximalPhalanxTW,1.803206443786621,166.4229278564453,0.1389770656824112,1.0,1.0,1.0,1.0,1.0,1.0
3939016010.0,ProximalPhalanxTW,1.7637931108474731,165.94076538085938,0.1043853759765625,1.0,1.0,1.0,1.0,1.0,1.0
3927996270.0,ProximalPhalanxTW,1.7442831993103027,166.70579528808594,0.07722537964582443,1.0,1.0,1.0,1.0,1.0,1.0
4085712274.0,ProximalPhalanxTW,1.73957359790802,164.74319458007812,0.09214168787002563,1.0,1.0,1.0,1.0,1.0,1.0
2887298160.0,ProximalPhalanxTW,1.7499709129333496,164.3507843017578,0.10646330565214157,1.0,1.0,1.0,1.0,1.0,1.0
4066387655.0,ProximalPhalanxTW,1.7539499998092651,164.65487670898438,0.10740123689174652,1.0,1.0,1.0,1.0,1.0,1.0
1306888515.0,ProximalPhalanxTW,1.7832515239715576,165.9304656982422,0.12394675612449646,1.0,1.0,1.0,1.0,1.0,1.0
2097922768.0,ProximalPhalanxTW,1.7631169557571411,164.36557006835938,0.11946117132902145,1.0,1.0,1.0,1.0,1.0,1.0
2057878440.0,ProximalPhalanxTW,1.7546021938323975,165.09841918945312,0.1036180630326271,1.0,1.0,1.0,1.0,1.0,1.0
2527540355.0,ProximalPhalanxTW,1.7616134881973267,164.6855010986328,0.11475850641727448,1.0,1.0,1.0,1.0,1.0,1.0
3104471153.0,ProximalPhalanxTW,1.776499629020691,167.9739532470703,0.09676003456115723,1.0,1.0,1.0,1.0,1.0,1.0
510993236.0,ProximalPhalanxTW,1.7518867254257202,166.39471435546875,0.08793947100639343,1.0,1.0,1.0,1.0,1.0,1.0
3096665430.0,ProximalPhalanxTW,1.7569255828857422,165.09860229492188,0.1059396043419838,1.0,1.0,1.0,1.0,1.0,1.0
1662263992.0,ProximalPhalanxTW,1.7626802921295166,167.14065551757812,0.09127366542816162,1.0,1.0,1.0,1.0,1.0,1.0
median,ProximalPhalanxTW,1.7589949369430542,165.09087371826172,0.10620145499706268,1.0,1.0,1.0,1.0,1.0,1.0
mean,ProximalPhalanxTW,1.7620405475298564,165.37899373372395,0.10825061748425166,1.0,1.0,1.0,1.0,1.0,1.0
std,ProximalPhalanxTW,0.020403548162239642,1.1281284768178153,0.018490698595115578,0.0,0.0,0.0,0.0,0.0,0.0
